Book_ID,Title,Author,Category,Cabinet,Rack_library,Row_library,Signal_Strength,Status_library,Date_library,Time_library
B001,The Adventures of Chronicles,Jordan Brown,Programming,4,5,4,-59,Present,12/11/2024,10:01:00 AM
B002,The Dream of Shadows,Taylor Walker,History,3,3,5,-42,Missing,12/11/2024,10:02:00 AM
B003,The Shadows of Mystery,Jordan Johnson,Science,5,3,4,-47,Checked Out,12/11/2024,10:03:00 AM
B004,The Chronicles of Dream,Casey Walker,Fiction,4,1,1,-60,Missing,12/11/2024,10:04:00 AM
B005,The Future of Adventures,Skyler Lee,Programming,3,4,2,-58,Missing,12/11/2024,10:05:00 AM
B006,The Chronicles of Chronicles,Skyler Smith,Thriller,4,2,4,-53,Present,12/11/2024,10:06:00 AM
B007,The Journey of Adventures,Morgan Hall,Fiction,2,5,1,-57,Missing,12/11/2024,10:07:00 AM
B008,The Legacy of Quest,Alex Clark,Science,3,3,2,-54,Missing,12/11/2024,10:08:00 AM
B009,The Mystery of Dream,Jordan Anderson,Fiction,1,5,4,-55,Present,12/11/2024,10:09:00 AM
B010,The Adventures of Shadows,Dakota Taylor,Programming,5,1,3,-45,Checked Out,12/11/2024,10:10:00 AM
B011,The Shadows of Adventures,Riley Clark,Fiction,2,5,2,-42,Checked Out,12/11/2024,10:11:00 AM
B012,The Future of Dream,Riley Hall,Fiction,4,2,5,-40,Checked Out,12/11/2024,10:12:00 AM
B013,The Code of Shadows,Quinn Walker,Thriller,1,3,1,-53,Missing,12/11/2024,10:13:00 AM
B014,The Code of Journey,Skyler Walker,Thriller,3,1,5,-52,Checked Out,12/11/2024,10:14:00 AM
B015,The Mystery of Shadows,Morgan Clark,Science,2,4,1,-40,Missing,12/11/2024,10:15:00 AM
B016,The Future of Shadows,Skyler Hall,Programming,1,4,2,-50,Checked Out,12/11/2024,10:16:00 AM
B017,The Chronicles of Legacy,Taylor Clark,Thriller,5,1,2,-45,Checked Out,12/11/2024,10:17:00 AM
B018,The Mystery of Legacy,Casey Smith,Fiction,3,5,2,-41,Present,12/11/2024,10:18:00 AM
B019,The Future of Mystery,Casey Hall,Fiction,4,1,5,-48,Missing,12/11/2024,10:19:00 AM
B020,The Adventures of Shadows,Alex Walker,Thriller,2,3,4,-50,Missing,12/11/2024,10:20:00 AM
B021,The Quest of Chronicles,Jordan Smith,Programming,5,2,1,-42,Checked Out,12/11/2024,10:21:00 AM
B022,The Dream of Shadows,Jamie Johnson,Programming,4,4,1,-50,Missing,12/11/2024,10:22:00 AM
B023,The Journey of Chronicles,Jordan Allen,Science,3,2,3,-60,Present,12/11/2024,10:23:00 AM
B024,The Dream of Quest,Jamie Johnson,Science,4,5,5,-47,Missing,12/11/2024,10:24:00 AM
B025,The Mystery of Legacy,Dakota Smith,History,5,5,4,-57,Present,12/11/2024,10:25:00 AM
B026,The Adventures of Journey,Skyler Anderson,History,2,1,3,-41,Missing,12/11/2024,10:26:00 AM
B027,The Chronicles of Journey,Jamie Allen,Fiction,2,1,5,-45,Present,12/11/2024,10:27:00 AM
B028,The Adventures of Dream,Casey Clark,Science,2,4,4,-42,Missing,12/11/2024,10:28:00 AM
B029,The Code of Shadows,Alex Johnson,Thriller,3,4,2,-41,Present,12/11/2024,10:29:00 AM
B030,The Quest of Adventures,Skyler Smith,Science,5,1,3,-43,Checked Out,12/11/2024,10:30:00 AM
B031,The Adventures of Legacy,Morgan Brown,Science,1,2,4,-40,Missing,12/11/2024,10:31:00 AM
B032,The Chronicles of Mystery,Taylor Taylor,Thriller,5,4,1,-48,Checked Out,12/11/2024,10:32:00 AM
B033,The Future of Journey,Dakota Clark,Programming,4,4,4,-47,Missing,12/11/2024,10:33:00 AM
B034,The Future of Code,Morgan Johnson,History,4,4,2,-54,Present,12/11/2024,10:34:00 AM
B035,The Dream of Journey,Jordan Smith,Programming,2,4,4,-54,Checked Out,12/11/2024,10:35:00 AM
B036,The Shadows of Shadows,Riley Lee,History,2,1,5,-59,Checked Out,12/11/2024,10:36:00 AM
B037,The Quest of Future,Jordan Lee,Fiction,5,3,5,-44,Checked Out,12/11/2024,10:37:00 AM
B038,The Dream of Chronicles,Casey Taylor,Programming,1,1,5,-58,Checked Out,12/11/2024,10:38:00 AM
B039,The Future of Legacy,Casey Smith,Programming,5,1,1,-45,Present,12/11/2024,10:39:00 AM
B040,The Shadows of Legacy,Skyler Taylor,Fiction,4,1,1,-43,Missing,12/11/2024,10:40:00 AM
B041,The Quest of Quest,Casey Taylor,Programming,1,5,2,-46,Present,12/11/2024,10:41:00 AM
B042,The Chronicles of Chronicles,Riley Anderson,Programming,1,1,2,-50,Missing,12/11/2024,10:42:00 AM
B043,The Shadows of Adventures,Quinn Johnson,Science,3,3,1,-42,Present,12/11/2024,10:43:00 AM
B044,The Journey of Chronicles,Alex Johnson,Programming,2,2,1,-41,Missing,12/11/2024,10:44:00 AM
B045,The Future of Code,Casey Smith,History,3,2,4,-51,Checked Out,12/11/2024,10:45:00 AM
B046,The Adventures of Shadows,Skyler Lee,Science,4,5,1,-59,Checked Out,12/11/2024,10:46:00 AM
B047,The Chronicles of Shadows,Dakota Brown,Fiction,3,4,2,-55,Missing,12/11/2024,10:47:00 AM
B048,The Shadows of Quest,Morgan Taylor,Science,3,1,1,-50,Checked Out,12/11/2024,10:48:00 AM
B049,The Journey of Journey,Casey Hall,History,2,4,1,-47,Present,12/11/2024,10:49:00 AM
B050,The Quest of Quest,Alex Anderson,Thriller,2,5,3,-49,Checked Out,12/11/2024,10:50:00 AM
B051,The Adventures of Legacy,Skyler Brown,History,3,5,5,-44,Present,12/11/2024,10:51:00 AM
B052,The Shadows of Mystery,Alex Lee,Thriller,4,4,5,-45,Missing,12/11/2024,10:52:00 AM
B053,The Future of Dream,Quinn Smith,Programming,3,5,2,-51,Checked Out,12/11/2024,10:53:00 AM
B054,The Adventures of Dream,Taylor Brown,Fiction,5,3,5,-44,Missing,12/11/2024,10:54:00 AM
B055,The Mystery of Mystery,Riley Lee,History,4,3,4,-59,Checked Out,12/11/2024,10:55:00 AM
B056,The Quest of Shadows,Jordan Hall,History,2,2,3,-55,Checked Out,12/11/2024,10:56:00 AM
B057,The Quest of Future,Taylor Allen,Programming,4,1,5,-58,Checked Out,12/11/2024,10:57:00 AM
B058,The Shadows of Adventures,Riley Allen,Thriller,3,1,3,-40,Missing,12/11/2024,10:58:00 AM
B059,The Quest of Code,Morgan Smith,Programming,2,2,3,-51,Missing,12/11/2024,10:59:00 AM
B060,The Chronicles of Shadows,Morgan Anderson,Programming,5,1,3,-58,Checked Out,12/11/2024,11:00:00 AM
B061,The Quest of Future,Dakota Smith,Science,4,5,3,-40,Checked Out,12/11/2024,11:01:00 AM
B062,The Shadows of Shadows,Morgan Allen,Thriller,1,2,2,-42,Present,12/11/2024,11:02:00 AM
B063,The Quest of Adventures,Alex Clark,History,2,3,1,-60,Checked Out,12/11/2024,11:03:00 AM
B064,The Mystery of Mystery,Skyler Johnson,Programming,2,5,3,-59,Checked Out,12/11/2024,11:04:00 AM
B065,The Future of Journey,Taylor Anderson,Thriller,2,3,3,-51,Present,12/11/2024,11:05:00 AM
B066,The Legacy of Adventures,Jamie Johnson,History,4,5,2,-54,Present,12/11/2024,11:06:00 AM
B067,The Legacy of Dream,Alex Johnson,Thriller,1,3,1,-59,Checked Out,12/11/2024,11:07:00 AM
B068,The Future of Dream,Riley Walker,Fiction,5,3,2,-56,Present,12/11/2024,11:08:00 AM
B069,The Journey of Legacy,Quinn Anderson,Science,5,1,2,-48,Present,12/11/2024,11:09:00 AM
B070,The Legacy of Future,Morgan Clark,Fiction,1,3,4,-43,Checked Out,12/11/2024,11:10:00 AM
B071,The Dream of Mystery,Riley Walker,Thriller,2,2,1,-43,Present,12/11/2024,11:11:00 AM
B072,The Mystery of Dream,Quinn Smith,History,3,1,4,-52,Checked Out,12/11/2024,11:12:00 AM
B073,The Adventures of Quest,Skyler Walker,Programming,2,2,5,-57,Present,12/11/2024,11:13:00 AM
B074,The Mystery of Quest,Skyler Anderson,Fiction,3,1,2,-43,Checked Out,12/11/2024,11:14:00 AM
B075,The Chronicles of Journey,Skyler Smith,Fiction,4,1,2,-56,Checked Out,12/11/2024,11:15:00 AM
B076,The Shadows of Chronicles,Alex Walker,Fiction,5,2,3,-53,Checked Out,12/11/2024,11:16:00 AM
B077,The Shadows of Mystery,Morgan Brown,Science,4,3,2,-55,Checked Out,12/11/2024,11:17:00 AM
